ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh0,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9
072d6c6fb9674f1d92a5103d431b053f/0,0.714947372,-0.194053394,0.552238806,3,0,3,bad4e21d36ff498091a07bdb2cfea493/0,f9e3d252171145ed90b4c9af9cab95eb/0,610475fb73fe40d9873dce28ad244f6a/0,bfcc683045794961abcc5416af2e9145/0,30998b1d9d59422a9fe1d882054a74b7/1,38bfa7802a004fb3adca0864627a94da/0,f52c6505099e4f29b9b818728fc2a0f9/0,035d888959de4c20bb160ee7d9e55ba0/0,33f6a3ab23e34755a725912ab9ca6cb4/0,adc319a25d474399a170a91d2c6cded7/0
07781d1568e64f8f9bda6e1ae563d1df/0,-0.168804073,0.216758941,0.617647059,8,5,3,a74f670642d14b60808d181b0eff6be3/0,a363d7a2f331472b83ae56330f9d3873/0,2c91626159fa4c7fadc7e839d35abe6a/0,ab635ca0356b4fa28605e6be0187f85d/0,ec78db32599c47b1a8fef53085a6c93e/0,0b9807e852394a5097a2f3316372989e/0,e6b8c93c4f8d4113b5a306c9dcf97198/0,5e7274eb29474ba2a56a3790fe4055be/0,10610bea16c24cbd8e297e4956a6000a/0,289c6fcefb254d1ba1c4b2519dcfac94/0
079ccf76bdc44395a644ae4f919a7f05/0,-0.174652119,-0.038127541,0.584615385,9,6,3,e5582365967e40e6839f15eeda74d470/0,b5301c1763064b89b214648656f3a467/0,8fb1ae52e4fe4791863c5479c705182a/0,baf6812e07154fb6afea11499a3d305e/0,fcbff117f449485cb47ff6c682dca33f/0,e363b00166c44129a482006d7cfa59ce/0,b57627fd2b354c64b1b19536accaf371/0,bb17ae44366e4268827220123a7a3b3d/0,0e08617264f94c6ab59af2933f8b7d8e/0,a915c89ebbf14db88e308b8dae9ea96b/0
07a3af10d2e447d7b09f005b1796cd26/0,0.207799402,0.331091982,0.525423729,5,2,3,1cfa68ff9f73446eb00f298c8ea42210/0,07002c7fbbf44ea8bdb2c9c85cd5e2ae/0,2a3a3a33aa8440f48061c118dee281a7/0,30a04b22e546418596ec9ab547c2023c/0,90d6399b898a4204abf228adde80b64d/0,1bfde7682ae44d0fa55769bfa2a561be/0,564f0eacee4547d6ab98a4bf450b8e2c/0,c1bd67d5cca149e19fdc7d23cd6ee9ca/0,01b593c1eae84ba8a5d3dccb83dadeaf/0,6e127a48274b4a70be63dbc6ac6ca7b9/0
07a4eb97b83c4863a4a745744cd2e9fe/0,-0.124652122,-0.277213627,0.728571429,8,5,3,b7d0b03ca677483298f98538ae68d347/0,434f6bed03e64ff9aaa338e1b3ee546e/0,1c0b9d2b838c47008eb006399b0e0bf5/0,0fdac62a599e4deb8efd58edd7f744dc/1,7a7f87ee7c8f4fa29df3bbbfe6914614/0,c8880e254799496fb2f475e5d94cb738/0,e8f55240abdc442586907154ae56ae56/0,976caf2c3f254359ad590548c0d0e9bf/0,16528b9b1c3d43b88040c53cda99adf8/0,b2a699b3bca04869bb732766baaa2f78/0
07b0399354744050a7ea37cf0635e367/0,0.014418212,-0.244451027,0.552238806,6,3,3,d2365061ce1c49289532ec8e7c973b29/0,adbe5a00571b40b89b083cde8b6c69c0/0,b4dd0fdb34fc47d886b2a23dd9059ffe/0,b1403ab3a7a34445a3cf78f409c0457d/0,7e96ef047d61421fa2e4f5b66dbaf8eb/0,a5c230e590a34f02a66eb05b47773903/0,9103594526264513b769095480b78ac9/0,058a8386189046c084808628785a0058/0,b67376bc16824f3b805987b11cdc82f7/0,d21b27aae6dd4ee1a705383c93048971/0
081342e77ba547f5ae5ed18ecbda8a82/0,-0.275879842,0.065792163,0.705882353,7,4,3,5c5e8b30e4b74967ad015928172002e1/0,3d396ecbc3194924ae69a0f0dd013a05/0,c0977e38e7fa48c6b2ced2930c16e80e/0,50ea44dcb2804181b188178b8c2628dd/0,918108c44771416489b5e48d656e8fcf/0,34baf5c31f75438ea4a9a722b8d535ac/0,643aab2ba2a647d2b00757c0fb3b9ba0/0,80485d7aabaf428481bda09221e8b4cc/0,45b4c73494724b05b51d0612bde95633/1,1181d259f5f443cf9258f2f01f545943/1
086b43108b1b4b478f95c0e52e9912c4/0,-0.179451542,0.30181415,0.602941176,4,1,3,979230b43cf34415bfc8712ad7bb734a/0,dfb24cc1ab4944b1b92413f773917fdf/0,4a0b4ebd642046fca86516922426d2bb/0,9afb63b23bac433c9d3289a68569ad5b/1,81467136074c4dbd9de01a8de9b71d39/0,b7c36164b7a34b8b976f4c01dcdc422c/0,c405e3bf855e40f3a7eb76a32e7d5ee0/0,b6743750aeb9473dadc25217ecd9ea77/0,54a08f36c9734e32956f14cbfe2b44c8/0,5587be5cdc974ec0852c2dadbe41afc8/0
0873bf0472bd46009405f0abb4964eaf/0,-0.341129563,-0.037279486,0.671641791,8,5,3,0a290beb27c14ce9b532a0c73ead4018/0,4eccc26d68db4c62a63c5c3f65e15d0f/0,dd26157b234b444c900d23913eef42c4/1,0f695e149b224cf890de6ca1df42751e/0,ba04bcdd9530446685d6b2891fbfce98/0,b41ae36f406748aca57181eae230d1d8/0,780c3a9d811748d58d8a5f1b33c706e2/0,43e1497f704e49609f6d9e3b0eb58dae/0,4b6c5438a6f24df283e4975df9c5b859/0,a488adc3c4b049fc8aa11afab047c614/0
0939109e524f4385ab4509be0055f1ba/0,-0.258142785,-0.079755404,0.61971831,5,2,3,2d43d42c0464481baa8786de3c84eb11/0,cf36e19f09fa4ac8a1dc18d0986cb16b/0,7dfcd4a01d444dd2a3fda2cad6dd79df/0,8379f5ce7a834523b86348afb79e5d90/0,15afc8df58994a56bc1edc73263f51d0/0,a35089e028ff49d486a7044028e044e6/0,66d1240515bf41868be60438f336c489/0,64abf2ac90e841b0bf264c4d2a20a85b/1,137689e74b764b3e8a9f81b0cfc946a7/0,6a564c5433aa4bc380029becd9162d65/0
